v -10 -400 0
v 10 -400 0
v 10 -80 0
v -10 -80 0
v -10 -400 20
v 10 -400 20
v 10 -100 20
v -10 -100 20
v -10 -200 10
v -60 -210 10
v -70 -240 10
v -10 -230 10
v 10 -200 10
v 60 -210 10
v 70 -240 10
v 10 -230 10
v -10 -360 20
v -10 -400 60
v -10 -440 60
v -10 -360 0
v -10 -390 -70
v -10 -430 -70
v 0 -300 100
v -150 -260 100
v -260 -150 100
v -300 0 100
v -260 150 100
v -150 259 100
v 0 300 100
v 150 259 100
v 259 150 100
v 300 0 100
v 259 -150 100
v 150 -260 100
v 10 -390 -50
v 10 -420 -42
v 10 -442 -21
v 10 -450 10
v 10 -442 39
v 10 -421 61
v 10 -390 70
v 10 -361 61
v 10 -339 40
v 10 -330 10
v 10 -339 -20
v 10 -360 -42
v -20 -40 40
v -20 40 40
v 20 40 40
v 20 -40 40
v 20 130 0
v -20 130 0
v 40 40 0
v 40 -40 0
v -40 40 0
v -40 -40 0
v 40 -40 -50
v -40 -40 -50
v 40 40 -50
v -40 40 -50
v -20 130 -50
v 20 130 -50
v 0 160 -30
v 40 -40 -90
v 40 -30 -90
v 30 -30 -50
v 30 -40 -50
v -40 -30 -90
v -40 -40 -90
v -30 -40 -50
v -30 -30 -50
v -30 50 -50
v -30 60 -50
v -40 60 -90
v -40 50 -90
v 40 60 -90
v 40 50 -90
v 30 50 -50
v 30 60 -50
v 10 -10 100
v -10 -10 100
v -10 10 100
v 10 10 100
v -10 -10 40
v 10 -10 40
v -10 10 40
v 10 10 40
v 50 100 -90
v 40 100 -90
v 40 -60 -90
v 50 -60 -90
v -40 100 -90
v -50 100 -90
v -50 -60 -90
v -40 -60 -90
v -50 120 -80
v -40 120 -80
v 40 120 -80
v 50 120 -80
f 4 255 255 255 0 1 2 3
f 4 255 255 255 4 5 6 7
f 4 255 255 255 0 1 5 4
f 4 255 255 255 0 3 7 4
f 4 255 255 255 1 2 6 5
f 4 255 255 0 8 9 10 11
f 4 255 255 0 12 13 14 15
f 4 255 255 0 16 17 18 4
f 4 255 255 0 19 20 21 0
f 12 200 200 255 22 23 24 25 26 27 28 29 30 31 32 33
f 12 200 200 255 34 35 36 37 38 39 40 41 42 43 44 45
f 4 0 0 100 50 51 47 48
f 3 0 0 100 47 51 54
f 3 0 0 100 52 50 48
f 4 255 127 0 46 47 48 49
f 4 255 127 0 52 53 49 48
f 4 255 127 0 54 55 46 47
f 3 255 127 0 53 49 6
f 4 255 127 0 6 7 46 49
f 3 255 127 0 46 55 7
f 3 255 127 0 56 53 6
f 3 255 127 0 57 55 7
f 4 255 127 0 58 52 53 56
f 4 255 127 0 59 54 55 57
f 4 255 127 0 61 50 52 58
f 4 255 127 0 59 54 51 60
f 3 255 127 0 50 61 62
f 3 255 127 0 62 60 61
f 3 255 127 0 60 51 62
f 3 255 127 0 50 51 62
f 4 127 60 0 57 56 6 7
f 4 127 60 0 59 58 56 57
f 4 127 60 0 59 60 61 58
f 4 100 100 100 79 80 81 82
f 4 100 100 100 79 80 83 84
f 4 100 100 100 82 81 85 86
f 4 100 100 100 79 82 86 84
f 4 100 100 100 80 81 85 83
f 4 255 255 255 63 64 65 66
f 4 255 255 255 67 68 69 70
f 4 255 255 255 71 72 73 74
f 4 255 255 255 75 76 77 78
f 4 255 255 255 87 88 89 90
f 4 255 255 255 91 92 93 94
f 4 255 255 255 91 92 95 96
f 4 255 255 255 97 98 87 88
